"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,15828.34,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,16434.62,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,17003.41,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,17461.44,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,18123.59,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,19328.28,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,19965.51,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,20482.9,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,20527.59,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,20121.6,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,20583.87,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,20828.52,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,21233.62,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,21921.09,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,22524.97,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,22846.75,,
"NZL","New Zealand","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,23296.88,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,14982.86,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,16027.96,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,16394.22,,
